english_word,twi_word,part_of_speech
Wash.,Si,verb
Watch your step.,Hwe fam,verb
We/Us.,Yen,Pronoun
Wear/Score.,Hye,verb
Wear/Score.,Hye,verb
Wear/Score.,Hye,verb
Wear/Score.,Hye,verb
Wear/Score.,Hye,verb
"Weave, Create.",Nwene,verb
Website/World Wide Web.,Wiase ntontan,noun
Wednesday.,Wukuada,
Weight.,Emuduru,noun
Welcome.,Akwaaba,verb
What do you like?,Deen,pronoun
What is your name?,De sen,Pronoun
Where are you going?,Ne,conjunction (for connecting words and phrases)
Where are you going?,Ne,conjunction (for connecting words and phrases)
Width.,Tetrete,noun
Width.,Tetrete,noun
Window.,Mpoma,noun
Yes.,Aane,Interjection
Yesterday.,Ennora,noun/adverb
Zero/0.,Hwee,number
count/read.,Kan,verb
count/read.,Kan,verb
home,Fie,noun
